what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1338755118009
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1338755118009
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1338755118009
started,bundle,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.resources",1338755118009
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1338755118009
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1338755118009
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1338755118009
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1338755118009
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1338755118087
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1338755118103
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1338755118103
started,bundle,org.eclipse.wst.common.emf,1.2.0.v201005200700,"org.eclipse.wst.common.emf",1338755118103
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.0.v201004110600,"org.eclipse.wst.common.emfworkbench.integration",1338755118103
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1338755118103
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.100.v201005190114,"org.eclipse.wst.common.project.facet.core",1338755118103
started,bundle,org.eclipse.wst.jsdt.core,1.1.0.v201006030738,"org.eclipse.wst.jsdt.core",1338755118103
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1338755118103
started,bundle,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui",1338755118118
started,bundle,org.eclipse.wst.web,1.1.400.v201005270700,"org.eclipse.wst.web",1338755118118
os,sysinfo,,,"win32",1338755118118
arch,sysinfo,,,"x86",1338755118118
ws,sysinfo,,,"win32",1338755118118
locale,sysinfo,,,"en_GB",1338755118118
processors,sysinfo,,,"1",1338755118118
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1338755118118
java.runtime.version,sysinfo,,,"1.6.0_21-b07",1338755118118
java.specification.name,sysinfo,,,"Java Platform API Specification",1338755118118
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1338755118118
java.specification.version,sysinfo,,,"1.6",1338755118118
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1338755118118
java.version,sysinfo,,,"1.6.0_21",1338755118118
java.vm.info,sysinfo,,,"mixed mode, sharing",1338755118118
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1338755118118
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1338755118118
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1338755118118
java.vm.specification.version,sysinfo,,,"1.0",1338755118118
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1338755118118
java.vm.version,sysinfo,,,"17.0-b17",1338755118118
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338755125525
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338755131790
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1338755131900
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1338755132790
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1338755132790
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1338755132790
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1338755146978
